attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Bend & Flex,Open House,morning_time,weekday,general_public_audience,,,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Wake-up Stretch and Relax Yoga,Open House,morning_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Balance & Stability Games,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Soccer Skills,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
low_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Plyometrics,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Staten Island,Ocean Breeze Park,Step & Fit,Open House,morning_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Staten Island,Ocean Breeze Park,Fit to the Core,Open House,morning_time,weekday,general_public_audience,,,,,,,
med_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Track & Field,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
med_attendance,Sport,Bronx,Williamsbridge Oval Park,Youth Meets,Local Event,afternoon_time,weekday,children_audience,tot_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Chair Aerobics,Community Based Event,morning_time,weekday,seniors_audience,adults_audience,young_adult_audience,teens_audience,,,,
med_attendance,Sport,Manhattan,Marcus Garvey Park,Harlem Programming,Community Based Event,morning_time,weekend,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Inspiration Motivation,Open House,morning_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Sport,Manhattan,Carmansville Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Hamilton Fish Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Street Hockey,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
low_attendance,Sport,Manhattan,Thomas Jefferson Park,Harlem Programming,Community Based Event,morning_time,weekend,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Ocean Breeze Park,Step & Fit,Open House,morning_time,weekday,general_public_audience,,,,,,,
med_attendance,Sport,Bronx,Hunts Point Recreation Center,Soccer Skills,Community Based Event,morning_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Chair Arobics,Community Based Event,morning_time,weekday,young_adult_audience,adults_audience,teens_audience,adaptive_audience,seniors_audience,,,
med_attendance,Fitness,Bronx,Hunts Point Recreation Center,Calisthenics,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Sport,Bronx,Hunts Point Recreation Center,Dodgeball,Community Based Event,afternoon_time,weekday,children_audience,teens_audience,,,,,,
med_attendance,Fitness,Bronx,Hunts Point Recreation Center,Cardio Fitness,Community Based Event,afternoon_time,weekday,teens_audience,children_audience,,,,,,
med_attendance,Sport,Bronx,Bronx Park,Kids and Play,Local Event,morning_time,weekday,children_audience,adaptive_audience,,,,,,
med_attendance,Fitness,Bronx,Bronx Park,Fitness for Kids through Dance and Stepping,Local Event,morning_time,weekday,children_audience,general_public_audience,,,,,,
med_attendance,Sport,Bronx,Bronx Park,Soccer for Toddlers,Local Event,morning_time,weekday,tot_audience,general_public_audience,,,,,,
med_attendance,Sport,Bronx,Bronx Park,Kids and Play,Local Event,morning_time,weekday,children_audience,general_public_audience,,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickle Ball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Bronx,Bronx Park,Fitness for kids through Dance & Stepping,Local Event,morning_time,weekday,children_audience,general_public_audience,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,TABATA Training,Local Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Bronx,St. James Park,A Walk In The Park,Open House,morning_time,weekday,adults_audience,,,,,,,
unknown_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Balance & Stability Games,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
unknown_attendance,Fitness,Bronx,Williamsbridge Oval Park,Jump Rope,Open House,afternoon_time,weekday,children_audience,young_adult_audience,,,,,,
low_attendance,Sport,Bronx,Williamsbridge Oval Park,Pickle Ball,Community Based Event,morning_time,weekday,seniors_audience,,,,,,,
unknown_attendance,Fitness,Bronx,Williamsbridge Oval Park,Stretch,Local Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Sport,Bronx,Williamsbridge Oval Park,Pickle Ball,Community Based Event,morning_time,weekday,seniors_audience,,,,,,,
low_attendance,Sport,Bronx,Williamsbridge Oval Park,Street Hockey,Community Based Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Sport,Bronx,Williamsbridge Oval Park,Street hockey,Community Based Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Sport,Bronx,Williamsbridge Oval Park,Sport Drills,Community Based Event,afternoon_time,weekday,children_audience,young_adult_audience,,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Circuit Training,Community Based Event,morning_time,weekday,seniors_audience,adults_audience,,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Fitness Challenge,Community Based Event,afternoon_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Bronx,Soundview Park,Mindful Play,Agency Produced Event,afternoon_time,weekday,children_audience,,,,,,,
med_attendance,Sport,Bronx,Williamsbridge Oval Park,Pickle Ball,Community Based Event,morning_time,weekday,adults_audience,seniors_audience,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Rhythem & Weights,Local Event,night_time,weekday,children_audience,,,,,,,
unknown_attendance,Fitness,Bronx,Soundview Park,Mindful Play,Agency Produced Event,afternoon_time,weekday,children_audience,,,,,,,
med_attendance,Fitness,Brooklyn,St. John's Park,Summer 2020 Outdoor Program,Local Event,morning_time,weekday,adults_audience,seniors_audience,general_public_audience,,,,,
unknown_attendance,Sport,Bronx,Claremont Park,Soccer Skills,Agency Produced Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,West 4th Park,Greenwich Handball Tournament,Tournament/Competition,morning_time,weekend,young_adult_audience,adults_audience,teens_audience,,,,,
low_attendance,Sport,Bronx,Claremont Park,Basketball Skills / Obstacle Course,Agency Produced Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
med_attendance,Fitness,Brooklyn,McKinley Park,Soccer Skills,Local Event,afternoon_time,weekday,children_audience,,,,,,,
unknown_attendance,Sport,Bronx,Haffen Park,Soccer Skills / Obstacle Course,Agency Produced Event,afternoon_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Marcus Garvey Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Thomas Jefferson Park,SSE Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Highbridge Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
unknown_attendance,Sport,Manhattan,Columbus Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick  Up Pickle Ball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Sport,Bronx,Williamsbridge Oval Park,Pickle Ball,Community Based Event,night_time,weekday,children_audience,young_adult_audience,,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Circuit Training,Community Based Event,morning_time,weekday,seniors_audience,adults_audience,,,,,,
low_attendance,Fitness,Brooklyn,St. John's Park,Summer 2020 Outdoor Program,Agency Produced Event,morning_time,weekday,adults_audience,seniors_audience,general_public_audience,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,TABATA Training,Local Event,afternoon_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Wake-Up Stretch and Relax Yoga,Open House,morning_time,weekday,general_public_audience,,,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Bend & Flex,Open House,morning_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Brooklyn,St. John's Park,2020 Summer Outdoor Program,Agency Produced Event,morning_time,weekday,adults_audience,seniors_audience,general_public_audience,,,,,
low_attendance,Sport,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Soccer Skills,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Staten Island,Ocean Breeze Park,Ocean Breeze Summer Sports Sizzler - Plyometrics,Open House,afternoon_time,weekday,general_public_audience,,,,,,,
med_attendance,Fitness,Staten Island,Ocean Breeze Park,Fit to the Core,Open House,morning_time,weekday,general_public_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Rhythm & Weights,Local Event,morning_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Soccer Skills,Local Event,afternoon_time,weekday,children_audience,,,,,,,
unknown_attendance,Sport,Bronx,Barretto Point Park,Basketball Skills / Obstacle Course,Agency Produced Event,afternoon_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
low_attendance,Fitness,Staten Island,Freshkills Park,Stronger Than Ever - Trail Walk,Open House,morning_time,weekday,seniors_audience,,,,,,,
unknown_attendance,Sport,Bronx,Ferry Point Park,Soccer Skills / Obstacle Course,Agency Produced Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickel Ball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
unknown_attendance,Sport,Bronx,Ferry Point Park,Soccer Skills,Agency Produced Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,Rhythm & Weights,Local Event,afternoon_time,weekday,children_audience,adults_audience,,,,,,
med_attendance,Sport,Manhattan,Carmansville Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Columbus Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Marcus Garvey Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Thomas Jefferson Park,SSE Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Brooklyn,Paerdegat Park,Chair Aerobics,Agency Produced Event,night_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Brooklyn,Paerdegat Park,Senior Power Walk,Agency Produced Event,morning_time,weekday,adults_audience,,,,,,,
low_attendance,Fitness,Brooklyn,McKinley Park,TABATA,Local Event,afternoon_time,weekday,adults_audience,,,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickle Ball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
